stationID,Time,average,Day
106,11:2:14,0.2730,251
106,11:12:6,0.3212,251
106,11:19:5,0.2569,251
106,11:29:5,0.2467,251
106,11:42:0,0.2496,251
106,11:45:0,0.2578,251
106,11:48:0,0.2504,251
106,14:15:0,0.1265,251
106,14:18:0,0.1253,251
106,14:21:0,0.1260,251
106,14:24:0,0.1242,251
106,14:57:0,0.2818,251
106,15:0:0,0.0967,251
106,15:3:0,0.0778,251
106,15:6:0,0.0690,251
106,15:9:0,0.0714,251
106,15:12:0,0.0652,251
106,15:15:0,0.0644,251
106,15:18:0,0.0655,251
106,15:21:0,0.0650,251
106,15:24:0,0.0639,251
106,15:27:0,0.0650,251
106,15:30:0,0.0652,251
106,15:33:0,0.0631,251
106,15:36:0,0.0613,251
106,15:39:0,0.0662,251
106,15:42:0,0.0652,251
106,15:45:0,0.0644,251
106,15:48:0,0.0659,251
106,15:51:0,0.0660,251
106,15:54:0,0.0653,251
106,15:57:0,0.0635,251
106,16:0:0,0.0660,251
106,16:3:0,0.0655,251
106,16:9:0,0.0662,251
106,16:12:0,0.0664,251
106,16:15:0,0.0660,251
106,16:18:0,0.0646,251
106,16:21:0,0.0674,251
106,16:24:0,0.0661,251
106,16:27:0,0.0652,251
106,16:30:0,0.0668,251
106,16:33:0,0.0666,251
106,16:36:0,0.0655,251
106,16:39:0,0.0655,251
106,16:42:0,0.0674,251
106,16:45:0,0.0662,251
106,16:48:0,0.0655,251
106,16:51:0,0.0673,251
106,16:54:0,0.0660,251
106,16:57:0,0.0657,251
106,17:0:0,0.0664,251
106,17:3:0,0.0663,251
106,17:6:0,0.0658,251
106,17:12:0,0.0666,251
106,17:15:0,0.0660,251
106,17:18:0,0.0657,251
106,17:21:0,0.0665,251
106,17:24:0,0.0669,251
106,17:27:0,0.0659,251
106,17:30:0,0.0645,251
106,17:33:0,0.0669,251
106,17:36:0,0.0655,251
106,17:39:0,0.0643,251
106,17:42:0,0.0653,251
106,17:45:0,0.0667,251
106,17:48:0,0.0665,251
106,17:51:0,0.0657,251
106,17:54:0,0.0684,251
106,17:57:0,0.0667,251
106,18:0:0,0.0659,251
106,18:3:0,0.0674,251
106,18:6:0,0.0669,251
106,18:9:0,0.0657,251
106,18:15:0,0.0665,251
106,18:18:0,0.0661,251
106,18:21:0,0.0649,251
106,18:24:0,0.0664,251
106,18:27:0,0.0659,251
106,18:30:0,0.0653,251
106,18:33:0,0.0664,251
106,18:36:0,0.0661,251
106,18:39:0,0.0653,251
106,18:42:0,0.0637,251
106,18:45:0,0.0665,251
106,18:48:0,0.0654,251
106,18:51:0,0.0649,251
106,18:54:0,0.0655,251
106,18:57:0,0.0654,251
106,19:0:0,0.0645,251
106,19:3:0,0.0636,251
106,19:6:0,0.0658,251
106,19:9:0,0.0643,251
106,19:12:0,0.0643,251
106,19:15:0,0.0654,251
106,19:18:0,0.0651,251
106,19:21:0,0.0645,251
106,19:24:0,0.0643,251
106,19:27:0,0.0663,251
106,19:30:0,0.0675,251
106,19:33:0,0.0687,251
106,19:36:0,0.0763,251
106,19:39:0,0.0774,251
106,19:42:0,0.0882,251
106,19:45:0,0.0887,251
106,19:48:0,0.0906,251
106,19:51:0,0.0894,251
106,19:54:0,0.0888,251
106,19:57:0,0.0905,251
106,20:0:0,0.0888,251
106,20:3:0,0.0887,251
106,20:6:0,0.0894,251
106,20:9:0,0.0896,251
106,20:12:0,0.0882,251
106,20:15:0,0.0863,251
106,20:18:0,0.0895,251
106,20:21:0,0.0882,251
106,20:24:0,0.0879,251
106,20:27:0,0.0889,251
106,20:30:0,0.0890,251
106,20:33:0,0.0878,251
106,20:36:0,0.0866,251
106,20:39:0,0.0892,251
106,20:45:0,0.0872,251
106,20:48:0,0.0886,251
106,20:51:0,0.0881,251
106,20:54:0,0.0874,251
106,20:57:0,0.0870,251
106,21:0:0,0.0896,251
106,21:3:0,0.0876,251
106,21:6:0,0.0867,251
106,21:9:0,0.0887,251
106,21:12:0,0.0887,251
106,21:15:0,0.0878,251
106,21:18:0,0.0895,251
106,21:21:0,0.0886,251
106,21:24:0,0.0884,251
106,21:27:0,0.0862,251
106,21:30:0,0.0889,251
106,21:33:0,0.0879,251
106,21:39:0,0.0882,251
106,21:42:0,0.0884,251
106,21:45:0,0.0875,251
106,21:48:0,0.0859,251
106,21:51:0,0.0895,251
106,21:54:0,0.0878,251
106,21:57:0,0.0881,251
106,22:0:0,0.0889,251
106,22:3:0,0.0891,251
106,22:6:0,0.0882,251
106,22:9:0,0.0873,251
106,22:12:0,0.0900,251
106,22:15:0,0.0882,251
106,22:18:0,0.0874,251
106,22:21:0,0.0897,251
106,22:24:0,0.0891,251
106,22:27:0,0.0883,251
106,22:30:0,0.0882,251
106,22:33:0,0.0900,251
106,22:36:0,0.0883,251
106,22:39:0,0.0866,251
106,22:42:0,0.0888,251
106,22:45:0,0.0884,251
106,22:48:0,0.0880,251
106,22:51:0,0.0889,251
106,22:54:0,0.0890,251
106,22:57:0,0.0878,251
106,23:0:0,0.0865,251
106,23:6:0,0.0887,251
106,23:9:0,0.0886,251
106,23:12:0,0.0898,251
106,23:15:0,0.0888,251
106,23:18:0,0.0884,251
106,23:21:0,0.0876,251
106,23:24:0,0.0897,251
106,23:27:0,0.0889,251
106,23:30:0,0.0889,251
106,23:33:0,0.0897,251
106,23:36:0,0.0887,251
106,23:39:0,0.0886,251
106,23:42:0,0.0880,251
106,23:45:0,0.0910,251
106,23:48:0,0.0891,251
106,23:51:0,0.0881,251
106,23:54:0,0.0900,251
106,23:57:0,0.0898,251
106,0:0:0,0.0886,252
106,0:3:0,0.0902,252
106,0:6:0,0.0897,252
106,0:9:0,0.0890,252
106,0:12:0,0.0878,252
106,0:15:0,0.0903,252
106,0:18:0,0.0894,252
106,0:21:0,0.0892,252
106,0:24:0,0.0900,252
106,0:27:0,0.0906,252
106,0:30:0,0.0896,252
106,0:33:0,0.0878,252
106,0:36:0,0.0905,252
106,0:39:0,0.0895,252
106,0:42:0,0.0891,252
106,0:45:0,0.0907,252
106,0:48:0,0.0902,252
106,0:51:0,0.0894,252
106,0:54:0,0.0882,252
106,0:57:0,0.0907,252
106,1:0:0,0.0892,252
106,1:3:0,0.0892,252
106,1:6:0,0.0905,252
106,1:9:0,0.0906,252
106,1:12:0,0.0893,252
106,1:15:0,0.0888,252
106,1:18:0,0.0912,252
106,1:21:0,0.0892,252
106,1:24:0,0.0887,252
106,1:27:0,0.0901,252
106,1:30:0,0.0896,252
106,1:33:0,0.0894,252
106,1:36:0,0.0900,252
106,1:42:0,0.0894,252
106,1:45:0,0.0874,252
106,1:48:0,0.0903,252
106,1:51:0,0.0899,252
106,1:54:0,0.0895,252
106,1:57:0,0.0904,252
106,2:0:0,0.0905,252
106,2:3:0,0.0893,252
106,2:6:0,0.0882,252
106,2:9:0,0.0902,252
106,2:12:0,0.0894,252
106,2:15:0,0.0894,252
106,2:18:0,0.0895,252
106,2:21:0,0.0903,252
106,2:24:0,0.0897,252
106,2:27:0,0.0888,252
106,2:30:0,0.0915,252
106,2:33:0,0.0892,252
106,2:36:0,0.0885,252
106,2:39:0,0.0908,252
106,2:42:0,0.0902,252
106,2:45:0,0.0897,252
106,2:48:0,0.0897,252
106,2:51:0,0.0916,252
106,2:54:0,0.0896,252
106,2:57:0,0.0886,252
106,3:0:0,0.0913,252
106,3:3:0,0.0901,252
106,3:9:0,0.0905,252
106,3:12:0,0.0904,252
106,3:15:0,0.0901,252
106,3:18:0,0.0883,252
106,3:21:0,0.0913,252
106,3:24:0,0.0902,252
106,3:27:0,0.0893,252
106,3:30:0,0.0911,252
106,3:33:0,0.0908,252
106,3:36:0,0.0895,252
106,3:39:0,0.0887,252
106,3:42:0,0.0915,252
106,3:45:0,0.0897,252
106,3:48:0,0.0900,252
106,3:51:0,0.0909,252
106,3:54:0,0.0906,252
106,3:57:0,0.0901,252
106,4:0:0,0.0889,252
106,4:3:0,0.0917,252
106,4:6:0,0.0901,252
106,4:9:0,0.0894,252
106,4:12:0,0.0915,252
106,4:15:0,0.0908,252
106,4:18:0,0.0897,252
106,4:21:0,0.0908,252
106,4:24:0,0.0909,252
106,4:27:0,0.0901,252
106,4:30:0,0.0884,252
106,4:33:0,0.0913,252
106,4:36:0,0.0902,252
106,4:39:0,0.0895,252
