Day,Time,Magnitude,Latitude,Longitude,Depth
3,16:55:27,3.9,43.77,86.36,5.0
3,21:14:2,6.3,-23.31,179.25,550.0
5,5:52:29,6.9,-19.31,175.95,20.0
5,9:3:59,3.9,41.99,82.5,10.0
5,15:7:22,3.7,24.12,121.85,47.0
5,22:12:51,4.7,30.6,83.77,9.0
9,16:52:8,5.8,-6.26,147.45,60.0
10,7:47:12,6.1,74.32,-92.29,10.0
11,4:25:54,3.7,35.56,77.87,78.0
11,14:13:45,6.9,4.41,122.62,620.0
11,23:27:13,6.3,-10.12,161.0,30.0
16,18:5:35,4.2,28.16,104.72,12.0
16,19:20:53,3.7,28.14,104.73,10.0
18,16:53:46,3.6,49.73,118.8,20.0
19,18:14:12,5.7,42.54,13.21,20.0
19,22:35:13,4.3,28.1,104.76,5.0
21,17:54:1,4.8,38.2,76.73,7.0
22,1:0:49,3.7,32.83,93.08,10.0
23,0:43:33,4.0,52.05,119.85,15.0
23,12:30:25,7.9,-6.19,155.14,160.0
26,14:38:3,3.6,30.1,103.61,24.0
26,15:33:5,3.6,24.16,121.95,45.0
29,2:46:32,4.9,28.09,104.72,11.0
30,22:59:48,5.9,-30.27,-177.12,10.0
31,2:6:7,3.8,40.69,77.61,6.0
32,14:16:0,4.5,31.53,93.97,5.0
33,18:7:44,5.0,30.67,83.34,8.0
34,8:34:29,3.7,28.15,104.7,10.0
36,3:54:22,5.6,15.1,-60.5,40.0
36,21:44:31,4.1,35.62,81.62,7.0
38,13:24:38,4.1,32.34,83.94,7.0
40,6:3:53,6.4,25.2,63.28,10.0
40,19:11:38,4.9,27.07,103.36,10.0
42,22:3:42,6.4,9.86,125.46,30.0
43,1:12:51,5.6,22.85,120.2,20.0
45,1:33:34,3.5,29.09,120.68,6.0
47,15:50:30,4.3,38.25,73.14,132.0
50,20:10:13,6.2,-23.83,-66.68,190.0
50,20:27:39,3.6,22.56,121.24,8.0
53,22:9:4,6.4,-19.24,-63.85,600.0
55,2:41:23,3.8,30.77,110.77,7.0
56,8:32:14,5.9,-8.43,30.01,10.0
57,1:28:44,6.9,-23.24,-178.89,400.0
57,7:46:44,6.0,-17.95,-178.48,560.0
58,3:24:50,4.0,31.02,103.38,13.0
59,2:48:51,4.5,30.18,83.54,5.0
60,0:18:30,3.9,24.16,122.77,10.0
60,21:42:19,5.4,37.65,72.28,157.0
61,1:3:11,3.9,39.92,81.34,6.0
62,10:11:31,5.5,59.62,-152.71,60.0
63,2:48:34,3.9,38.1,120.84,9.0
64,10:58:21,6.0,-7.2,155.63,10.0
66,6:47:54,6.0,-6.01,149.37,30.0
66,10:44:1,4.2,36.88,73.59,110.0
67,17:49:44,3.9,38.37,73.27,121.0
68,0:22:25,4.0,36.75,84.78,6.0
68,6:10:51,4.1,24.32,122.17,38.0
71,7:51:38,4.0,43.08,110.24,11.0
72,20:21:17,4.5,27.09,103.4,10.0
73,5:41:6,3.8,47.83,90.97,7.0
74,10:51:15,5.9,6.15,92.35,10.0
74,19:7:10,4.7,39.19,73.51,10.0
74,20:36:44,5.8,-20.9,169.94,140.0
75,0:39:45,3.6,27.14,97.0,7.0
77,19:36:20,3.7,38.58,73.21,115.0
79,21:45:13,3.8,37.1,77.93,21.0
79,23:43:29,6.0,-8.24,160.84,40.0
84,11:3:26,3.9,38.82,119.55,10.0
85,0:43:29,4.8,26.91,127.21,90.0
87,6:54:46,4.2,30.59,83.99,8.0
